GSM989827,67.0
GSM989828,89.0
GSM989829,66.0
GSM989830,64.0
GSM989831,62.0
GSM989832,87.0
GSM989833,73.0
GSM989834,75.0
GSM989835,73.0
GSM989836,83.0
GSM989837,82.0
GSM989838,48.0
GSM989839,77.0
GSM989840,54.0
GSM989841,63.0
GSM989842,71.0
GSM989843,68.0
GSM989844,80.0
GSM989845,92.0
GSM989846,60.0
GSM989847,79.0
GSM989848,68.0
GSM989849,93.0
GSM989850,84.0
GSM989851,74.0
GSM989852,74.0
GSM989853,76.0
GSM989854,56.0
GSM989855,72.0
GSM989856,75.0
GSM989857,79.0
GSM989858,73.0
GSM989859,82.0
GSM989860,74.0
GSM989861,79.0
GSM989862,54.0
GSM989863,101.0
GSM989864,79.0
GSM989865,84.0
GSM989866,85.0
GSM989867,87.0
GSM989868,74.0
GSM989869,77.0
GSM989870,73.0
GSM989871,87.0
GSM989872,85.0
GSM989873,88.0
GSM989874,66.0
GSM989875,78.0
GSM989876,53.0
GSM989877,76.0
GSM989878,67.0
GSM989879,73.0
GSM989880,54.0
GSM989881,73.0
GSM989882,96.0
GSM989883,57.0
GSM989884,76.0
GSM989885,47.0
GSM989886,54.0
GSM989887,73.0
GSM989888,84.0
GSM989889,62.0
GSM989890,89.0
GSM989891,68.0
GSM989892,62.0
GSM989893,79.0
GSM989894,72.0
GSM989895,69.0
GSM989896,55.0
GSM989897,73.0
GSM989898,79.0
GSM989899,72.0
GSM989900,89.0
GSM989901,79.0
GSM989902,85.0
GSM989903,68.0
GSM989904,89.0
GSM989905,73.0
GSM989906,63.0
GSM989907,78.0
GSM989908,65.0
GSM989909,65.0
GSM989910,89.0
GSM989911,85.0
GSM989912,66.0
GSM989913,76.0
GSM989914,74.0
GSM989915,84.0
GSM989916,71.0
GSM989917,49.0
GSM989918,69.0
GSM989919,63.0
GSM989920,66.0
GSM989921,85.0
GSM989922,76.0
GSM989923,84.0
GSM989924,59.0
GSM989925,70.0
GSM989926,65.0
GSM989927,68.0
GSM989928,84.0
GSM989929,75.0
GSM989930,51.0
GSM989931,63.0
GSM989932,69.0
GSM989933,78.0
GSM989934,78.0
GSM989935,52.0
GSM989936,49.0
GSM989937,53.0
GSM989938,59.0
GSM989939,62.0
GSM989940,46.0
GSM989941,68.0
GSM989942,74.0
GSM989943,59.0
GSM989944,76.0
GSM989945,54.0
GSM989946,59.0
GSM989947,48.0
GSM989948,45.0
GSM989949,62.0
GSM989950,63.0
GSM989951,80.0
GSM989952,60.0
GSM989953,71.0
GSM989954,67.0
